ID,Nom,Secteur,SecteurCode,Adresse,CodePostal,Ville,Pays,Telephone,Email,TVA,IBAN,BIC,LogoPath
SOC001,AutoPro Service,Automotive,automotive,25 Street du Commerce,1000,Brussels,Belgium,+32 562 316 57 44,contact@autopro-service.be,BE0242143461,BE77 8393 6636 6119,BBRUBEBB,assets/logos/societe_soc001.svg
SOC002,Garage Central,Automotive,automotive,39 Avenue de la Liberté,2000,Antwerp,Belgium,+32 417 930 76 52,contact@garage-central.be,BE0638570883,BE20 1522 8356 4518,GEBABEBB,assets/logos/societe_soc002.svg
SOC003,Mécanique Rapide,Automotive,automotive,47 Boulevard Industriel,9000,Ghent,Belgium,+32 302 814 77 90,contact@mcanique-rapide.be,BE0374229579,BE18 2834 1725 5832,GEBABEBB,assets/logos/societe_soc003.svg
SOC004,Carrosserie Pro,Automotive,automotive,34 Square du Marché,4000,Liege,Belgium,+32 317 709 35 59,contact@carrosserie-pro.be,BE0919873051,BE36 7491 3160 7640,GKCCBEBB,assets/logos/societe_soc004.svg
SOC005,Pneus Express,Automotive,automotive,92 Street des Artisans,5000,Namur,Belgium,+32 227 899 95 75,contact@pneus-express.be,BE0785320330,BE90 3864 1263 7779,GKCCBEBB,assets/logos/societe_soc005.svg
SOC006,Moto & Scooter,Automotive,automotive,29 Highway de Mons,6000,Charleroi,Belgium,+32 458 123 68 75,contact@moto--scooter.be,BE0232456370,BE27 8556 6552 1237,GEBABEBB,assets/logos/societe_soc006.svg
SOC007,Boulangerie Dupont,Bakery,bakery,8 Street du Commerce,1000,Brussels,Belgium,+32 908 519 82 70,contact@boulangerie-dupont.be,BE0776405277,BE54 6278 6096 7577,BBRUBEBB,assets/logos/societe_soc007.svg
SOC008,Pâtisserie Martin,Bakery,bakery,93 Avenue de la Liberté,2000,Antwerp,Belgium,+32 475 780 96 78,contact@ptisserie-martin.be,BE0481160387,BE96 8676 8297 9118,GEBABEBB,assets/logos/societe_soc008.svg
SOC009,Pain d'Or,Bakery,bakery,141 Boulevard Industriel,9000,Ghent,Belgium,+32 457 524 14 78,contact@pain-dor.be,BE0366328369,BE24 4722 4336 8028,GKCCBEBB,assets/logos/societe_soc009.svg
SOC010,Fournil Moderne,Bakery,bakery,81 Square du Marché,8000,Bruges,Belgium,+32 216 484 92 66,contact@fournil-moderne.be,BE0276394389,BE60 6173 7133 8940,GKCCBEBB,assets/logos/societe_soc010.svg
