ID,Nom,Secteur,Adresse,CodePostal,Ville,Pays,Telephone,Email,TVA,IBAN,BIC,LogoPath
BUS001,InnoTech Belgium,Technologie,42 Straße Haute,4000,Lüttich,Belgien,+32 118 516 74 37,contact@innotech-belgium.be,BE0487442158,BE39 7108 8586 5579,GKCCBEBB,assets/logos/business_001.svg
BUS002,BricoMax,Heimwerken,180 Platz du Grand Sablon,9000,Gent,Belgien,+32 956 459 19 34,contact@bricomax.be,BE0954935561,BE56 9534 1042 4809,BBRUBEBB,assets/logos/business_002.svg
BUS003,Gourmet Express,Gastronomie,167 Straße de la Paix,2000,Antwerpen,Belgien,+32 232 558 89 99,contact@gourmet-express.be,BE0127663919,BE44 5520 9696 3744,GEBABEBB,assets/logos/business_003.svg
BUS004,Style & Tendance,Mode,121 Allee de Tervuren,4100,Seraing,Belgien,+32 708 974 41 68,contact@style--tendance.be,BE0417090871,BE23 7168 2632 1939,GEBABEBB,assets/logos/business_004.svg
BUS005,Santé+ Centre,Gesundheit,74 Allee de Tervuren,2800,Mecheln,Belgien,+32 671 702 75 44,contact@sant-centre.be,BE0837979635,BE91 5967 7371 8471,BBRUBEBB,assets/logos/business_005.svg
BUS006,Fast Transport,Transport,106 Allee de la Reine,4000,Lüttich,Belgien,+32 880 799 69 32,contact@fast-transport.be,BE0941469963,BE87 6275 6023 3222,KREDBEBB,assets/logos/business_006.svg
BUS007,Digital Agency Pro,Marketing,65 Boulevard Anspach,7000,Bergen,Belgien,+32 517 956 46 39,contact@digital-agency-pro.be,BE0204274168,BE78 5423 6878 4749,GEBABEBB,assets/logos/business_007.svg
BUS008,Éco-Construction,Bau,87 Straße du Marché aux Herbes,4100,Seraing,Belgien,+32 848 779 43 35,contact@co-construction.be,BE0535812522,BE53 9207 5982 7533,BBRUBEBB,assets/logos/business_008.svg
BUS009,Boulangerie Artisanale,Lebensmittel,67 Allee Louise,8400,Ostende,Belgien,+32 844 216 42 60,contact@boulangerie-artisanale.be,BE0669842185,BE33 1797 2099 7963,GKCCBEBB,assets/logos/business_009.svg
BUS010,Bijoux Élégance,Juwelier,141 Boulevard du Midi,8800,Roeselare,Belgien,+32 301 262 73 12,contact@bijoux-lgance.be,BE0735556950,BE32 5385 7140 8742,GKCCBEBB,assets/logos/business_010.svg
BUS011,OptiVision,Optik,30 Platz Sainte-Catherine,7000,Bergen,Belgien,+32 641 553 10 11,contact@optivision.be,BE0938699145,BE42 1174 9131 7595,KREDBEBB,assets/logos/business_011.svg
BUS012,AutoService Rapide,Automobil,73 Straße de la Paix,4100,Seraing,Belgien,+32 167 225 36 18,contact@autoservice-rapide.be,BE0925853423,BE80 2620 9156 9019,GKCCBEBB,assets/logos/business_012.svg
BUS013,ImmoConfort,Immobilien,136 Allee Louise,2000,Antwerpen,Belgien,+32 313 866 74 25,contact@immoconfort.be,BE0191859772,BE26 2567 3132 8716,KREDBEBB,assets/logos/business_013.svg
BUS014,Café du Centre,Horeca,193 Straße Neuve,2800,Mecheln,Belgien,+32 114 432 83 36,contact@caf-du-centre.be,BE0216051829,BE34 3184 1860 5592,GKCCBEBB,assets/logos/business_014.svg
BUS015,NetPro Services,Reinigung,185 Straße de Rollebeek,4800,Verviers,Belgien,+32 102 224 72 17,contact@netpro-services.be,BE0499958744,BE91 5035 7775 9951,GKCCBEBB,assets/logos/business_015.svg
BUS016,Jardin & Nature,Gärtnern,79 Straße du Commerce,6000,Charleroi,Belgien,+32 283 406 63 94,contact@jardin--nature.be,BE0588855611,BE97 5219 5471 6627,BBRUBEBB,assets/logos/business_016.svg
BUS017,Sécurité Plus,Sicherheit,6 Allee de Tervuren,2800,Mecheln,Belgien,+32 820 252 84 89,contact@scurit-plus.be,BE0860351647,BE10 7498 9659 8557,GEBABEBB,assets/logos/business_017.svg
BUS018,Formation Pro,Ausbildung,151 Straße du Marché aux Herbes,7000,Bergen,Belgien,+32 186 777 55 84,contact@formation-pro.be,BE0647779652,BE77 9762 8030 8751,GKCCBEBB,assets/logos/business_018.svg
BUS019,Artisan Menuisier,Schreinerei,95 Boulevard du Midi,9000,Gent,Belgien,+32 244 218 57 74,contact@artisan-menuisier.be,BE0558512634,BE60 9671 7201 4433,BBRUBEBB,assets/logos/business_019.svg
BUS020,Fleuriste du Parc,Florist,187 Straße Haute,8500,Kortrijk,Belgien,+32 106 420 75 95,contact@fleuriste-du-parc.be,BE0253934561,BE92 8945 3583 8363,GEBABEBB,assets/logos/business_020.svg
BUS021,TechMobile,Telefonie,22 Straße du Marché aux Herbes,6000,Charleroi,Belgien,+32 448 563 75 37,contact@techmobile.be,BE0693905562,BE20 6707 6575 8949,GKCCBEBB,assets/logos/business_021.svg
BUS022,Pêche & Compagnie,Angeln,144 Chaussee de Waterloo,8800,Roeselare,Belgien,+32 375 789 18 61,contact@pche--compagnie.be,BE0112842479,BE76 2083 6660 2857,KREDBEBB,assets/logos/business_022.svg
BUS023,Librairie Centrale,Buchhandlung,50 Straße du Commerce,6000,Charleroi,Belgien,+32 513 568 58 87,contact@librairie-centrale.be,BE0570701002,BE56 6897 5459 6484,KREDBEBB,assets/logos/business_023.svg
BUS024,SportMax,Sport,33 Platz Sainte-Catherine,9000,Gent,Belgien,+32 873 799 45 79,contact@sportmax.be,BE0708860519,BE33 2133 8544 9957,GKCCBEBB,assets/logos/business_024.svg
BUS025,Animalerie ZOO,Tiere,5 Straße de Rollebeek,8800,Roeselare,Belgien,+32 254 413 57 47,contact@animalerie-zoo.be,BE0726471116,BE15 3534 2376 9311,GEBABEBB,assets/logos/business_025.svg
BUS026,Photo Studio Pro,Fotografie,32 Straße de l'Étuve,6000,Charleroi,Belgien,+32 668 779 81 26,contact@photo-studio-pro.be,BE0799214058,BE32 2933 8377 3566,KREDBEBB,assets/logos/business_026.svg
