secteur;langue;nom_produit;prix_unitaire;unite;etiquette_unite;type
bakery;fr;Baguette tradition;1.20;pc;pièce;produit
bakery;fr;Croissant au beurre;1.50;pc;pièce;produit
bakery;fr;Pain de campagne (500g);3.80;pc;pièce;service
bakery;fr;Tarte aux pommes;12.50;pc;pièce;produit
bakery;fr;Éclair au chocolat;3.20;pc;pièce;produit
bakery;fr;Macarons assortis;2.50;pc;pièce;produit
bakery;fr;Brioche tressée;6.90;pc;pièce;produit
bakery;fr;Quiche lorraine;14.00;pc;pièce;produit
bakery;fr;Farine T55 (1kg);1.80;pc;sac;produit
bakery;fr;Galette des rois (6 pers);22.00;pc;pièce;produit
bakery;fr;Sandwich jambon-beurre;4.50;pc;pièce;produit
bakery;fr;Mille-feuille;4.80;pc;pièce;produit
bakery;fr;Tartelette fruits;3.90;pc;pièce;produit
bakery;fr;Pain sans gluten;5.50;pc;pièce;produit
bakery;fr;Chocolat chaud;3.00;pc;tasse;produit
restaurant;fr;Menu du jour (entrée+plat+dessert);18.50;pc;menu;service
restaurant;fr;Plat du jour;14.00;pc;plat;service
restaurant;fr;Entrée maison;9.50;pc;entrée;service
restaurant;fr;Dessert du chef;8.50;pc;dessert;service
restaurant;fr;Boisson maison;4.50;pc;verre;service
restaurant;fr;Menu enfant;12.00;pc;menu;service
restaurant;fr;Formule déjeuner;16.00;pc;formule;service
restaurant;fr;Bouteille de vin (75cl);25.00;pc;bouteille;service
restaurant;fr;Verre de vin;6.00;pc;verre;service
restaurant;fr;Café gourmand;7.50;pc;assiette;service
restaurant;fr;Assiette de fromages;11.00;pc;assiette;service
restaurant;fr;Salade composée;13.50;pc;salade;service
restaurant;fr;Pizza du jour;12.00;pc;pizza;service
restaurant;fr;Burger maison;15.50;pc;burger;service
restaurant;fr;Thé/café;3.50;pc;tasse;service
retail;fr;Article en promotion;15.99;pc;pièce;produit
retail;fr;Produit tendance;29.99;pc;pièce;produit
retail;fr;Accessoire mode;12.50;pc;pièce;produit
retail;fr;Article électroménager;89.00;pc;pièce;produit
retail;fr;Produit de beauté;24.90;pc;pièce;produit
retail;fr;Article de décoration;35.00;pc;pièce;produit
retail;fr;Livre;18.50;pc;livre;produit
retail;fr;Jouet;22.99;pc;pièce;produit
retail;fr;Article de sport;45.00;pc;pièce;produit
retail;fr;Produit alimentaire (kg);8.50;kg;kg;produit
retail;fr;Article de papeterie;5.99;pc;pièce;produit
retail;fr;Accessoire électronique;19.90;pc;pièce;produit
retail;fr;Article textile;39.99;pc;pièce;produit
retail;fr;Produit ménager;7.50;pc;pièce;produit
retail;fr;Article cadeau;14.90;pc;pièce;produit
it;fr;Ordinateur portable;899.00;pc;unité;produit
it;fr;Souris sans fil;29.99;pc;pièce;produit
it;fr;Clavier mécanique;89.00;pc;pièce;produit
it;fr;Écran 27";299.00;pc;écran;produit
it;fr;Disque dur externe (1To);65.00;pc;disque;produit
it;fr;Logiciel antivirus (1 an);49.90;pc;licence;produit
it;fr;Câble HDMI 2m;12.90;pc;câble;produit
it;fr;Webcam HD;59.00;pc;webcam;produit
it;fr;Casque audio;79.90;pc;casque;produit
it;fr;Installation logiciel;75.00;h;heure;produit
it;fr;Maintenance informatique;85.00;h;heure;produit
it;fr;Support technique;65.00;h;heure;produit
it;fr;Développement sur mesure;120.00;h;heure;produit
it;fr;Formation utilisateur;150.00;h;heure;produit
it;fr;Sauvegarde cloud (1 an);99.00;pc;abonnement;produit
consulting;fr;Rapport d'analyse stratégique;2500.00;pc;rapport;service
consulting;fr;Étude de marché;4500.00;pc;étude;service
